Który_mechanizm_w_systemie_UNIX_umożliwia_dynamiczne_ładowanie_modułów_uwierzytelniania,_takich_jak_LDAP_lub_Kerberos?; Access_Control_Lists_(ACL); Pluggable_Authentication_Modules_(PAM); System_quota; Sygnały_(np._SIGTERM); B; System_PAM_pozwala_na_konfigurację_modułów_uwierzytelniania_poprzez_pliki_w_/etc/pam.d/,_co_umożliwia_integrację_różnych_metod,_np._LDAP.
Które_wyrażenie_w_Pythonie_definiuje_funkcję_lambda_zwracającą_sumę_dwóch_liczb?; lambda_a,b:_a_+_b; def_sum(a,_b):_return_a_+_b; function(a,_b)_{_return_a_+_b_}; lambda_(a,b):_a_+_b; A; Poprawna_składnia_funkcji_lambda_w_Pythonie_to_lambda_argumenty:_wyrażenie,_bez_nawiasów_dla_wielu_argumentów.
Który_warunek_jest_KLUCZOWY_dla_rekurencji,_aby_uniknąć_przepełnienia_stosu?; Użycie_zmiennych_globalnych; Obecność_warunku_stopu_(base_case); Typ_zwracanej_wartości; Przekazywanie_parametrów_przez_referencję; B; Brak_warunku_stopu_prowadzi_do_nieskończonej_rekurencji_i_błędu_stack_overflow.
Jak_reprezentowana_jest_liczba_-3_w_8-bitowym_systemie_U2?; 00000011; 11111100; 11111101; 10000011; C; W_U2:_-3_=_11111101_(odwrócone_bity_liczby_3_i_dodanie_1:_00000011_→_11111100_+_1_=_11111101).
Który_algorytm_sortowania_ma_złożoność_O(n²)_w_najgorszym_przypadku?; Mergesort; Heapsort; Quicksort; Bubblesort; D; Bubblesort_porównuje_sąsiednie_elementy,_co_w_najgorszym_przypadku_wymaga_n²_operacji.
Który_algorytm_wykorzystuje_technikę_dziel_i_zwyciężaj?; Bubble_sort; Insertion_sort; Mergesort; Linear_search; C; Mergesort_dzieli_tablicę_na_połowy,_sortuje_rekurencyjnie,_a_następnie_scala_wyniki.
Co_jest_głównym_ograniczeniem_algorytmów_zachłannych?; Wymagają_dużej_pamięci; Nie_gwarantują_globalnego_optimum; Są_trudne_w_implementacji; Działają_tylko_na_grafach; B; Algorytmy_zachłanne_wybierają_lokalnie_optymalne_decyzje,_które_mogą_nie_prowadzić_do_najlepszego_rozwiązania_globalnego.
Która_reprezentacja_grafu_jest_bardziej_wydajna_pamięciowo_dla_grafów_rzadkich?; Macierz_sąsiedztwa; Lista_sąsiedztwa; Macierz_incydencji; Tabela_krawędzi; B; Lista_sąsiedztwa_przechowuje_tylko_istniejące_połączenia,_co_oszczędza_pamięć_w_grafach_rzadkich.
Który_algorytm_znajduje_maksymalny_przepływ_w_grafie?; Dijkstra; A*; Ford-Fulkerson; Depth-First_Search; C; Algorytm_Ford-Fulkerson_wykorzystuje_ścieżki_powiększające_do_znalezienia_maksymalnego_przepływu.
Który_etap_budowy_programu_w_C_odpowiada_za_podmianę_dyrektyw_#include?; Kompilacja; Preprocesor; Linkowanie; Interpretacja; B; Preprocesor_przetwarza_dyrektywy_jak_#include_czy_#define_przed_kompilacją_właściwego_kodu.
Co_oznacza_skrót_VLA_w_kontekście_języka_C?; Virtual_Linkage_Array; Variable_Length_Array; Vectorized_Logic_Algorithm; Volatile_Local_Address; B; VLA_(Variable_Length_Array)_pozwala_na_deklarowanie_tablic_o_rozmiarze_określonym_w_czasie_wykonania,_np._int_tab[n].
Która_funkcja_w_C_służy_do_sortowania_tablicy_z_użyciem_własnej_funkcji_porównującej?; sort(); qsort(); mergesort(); arrange(); B; qsort()_to_funkcja_biblioteczna,_która_sortuje_tablicę_za_pomocą_wskaźnika_do_funkcji_porównującej.
Które_pojęcie_oznacza_funkcję_przyjmującą_inną_funkcję_jako_argument?; Funkcja_rekurencyjna; Funkcja_wyższego_rzędu; Funkcja_lambda; Funkcja_inline; B; Funkcje_wyższego_rzędu_(np._map_w_Pythonie)_operują_na_innych_funkcjach.
Który_typ_w_Haskellu_jest_przykładem_typu_algebraicznego?; Int; Maybe_a_=_Nothing_|_Just_a; String; Float; B; Maybe_a_to_typ_algebraiczny,_będący_sumą_typów:_Nothing_(brak_wartości)_lub_Just_a_(przechowuje_wartość).
Co_oznacza_leniwe_obliczanie_(lazy_evaluation)?; Obliczenia_wykonywane_natychmiast_po_zadeklarowaniu; Obliczenia_wykonywane_dopiero_gdy_wynik_jest_potrzebny; Obliczenia_z_użyciem_wielu_wątków; Obliczenia_zoptymalizowane_pod_kątem_szybkości; B; Leniwe_obliczenia_(np._w_Haskellu)_opóźniają_wykonanie_do_momentu,_gdy_wartość_jest_wymagana.
Która_cecha_NIE_jest_charakterystyczna_dla_języków_obiektowych?; Dziedziczenie; Enkapsulacja; Statyczne_typowanie; Polimorfizm; C; Statyczne_typowanie_nie_jest_cechą_wyłącznie_OOP_–_występuje_też_w_językach_funkcyjnych_(np._Haskell).
Która_własność_transakcji_bazodanowej_gwarantuje,_że_transakcja_zostanie_wykonana_w_całości_lub_wcale?; Consistency; Atomicity; Isolation; Durability; B; Atomicity_(niepodzielność)_zapewnia,_że_transakcja_nie_zostanie_częściowo_zatwierdzona.
Która_postać_normalna_wymaga,_aby_każda_kolumna_niebędąca_kluczem_była_zależna_wyłącznie_od_całego_klucza_podstawowego?; 1NF; 2NF; 3NF; BCNF; B; 2NF_eliminuje_zależności_częściowe_–_kolumny_muszą_zależeć_od_całego_klucza,_a_nie_jego_podzbioru.
Co_oznacza_skrót_ACID_w_kontekście_baz_danych?; Atomicity,_Consistency,_Isolation,_Durability; Access,_Control,_Integrity,_Data; Algorithm,_Cache,_Index,_Database; Aggregation,_Composition,_Inheritance,_Dependency; A; ACID_to_standardowy_zestaw_własności_transakcji:_niepodzielność,_spójność,_izolacja,_trwałość.
Która_operacja_w_algebrze_relacji_odpowiada_za_wybór_wierszy_spełniających_warunek?; Projekcja_(π); Selekcja_(σ); Złączenie_(⨝); Iloczyn_kartezjański_(×); B; Selekcja_(σ)_filtruje_wiersze_na_podstawie_warunku,_np._σ_{age_>_30}(Employees).
Która_struktura_przyspiesza_wyszukiwanie_w_tabeli_bazy_danych?; Widok_(VIEW); Indeks_(INDEX); Klucz_obcy_(FOREIGN_KEY); Trigger; B; Indeksy_(np._B-drzewo)_skracają_czas_wyszukiwania_poprzez_utrzymanie_uporządkowanej_struktury.
Co_oznacza_skrót_DMA_w_architekturze_komputerów?; Dynamic_Memory_Allocation; Direct_Memory_Access; Data_Management_Algorithm; Dual_Modular_Architecture; B; DMA_pozwala_urządzeniom_peryferyjnym_na_bezpośredni_dostęp_do_pamięci,_omijając_CPU.
Która_pamięć_jest_szybsza,_ale_bardziej_kosztowna_w_produkcji?; DRAM; SRAM; Pamięć_Flash; ROM; B; SRAM_(Static_RAM)_jest_szybsza_i_używana_w_pamięci_podręcznej,_ale_ma_wyższy_koszt_na_bit_niż_DRAM.
Który_modyfikator_w_C/C++_wskazuje,_że_zmienna_może_ulec_zmianie_w_dowolnym_momencie_(np._przez_przerwanie)?; static; const; volatile; extern; C; volatile_informuje_kompilator,_że_wartość_zmiennej_może_się_zmienić_asynchronicznie,_więc_nie_powinna_być_optymalizowana.
Które_prawo_opisuje_skalowalność_systemów_równoległych_przy_stałym_obciążeniu?; Prawo_Amdahla; Prawo_Moore’a; Prawo_Gustafsona; Prawo_Metcalfe’a; C; Prawo_Gustafsona_zakłada,_że_większe_systemy_mogą_rozwiązywać_większe_problemy_w_tym_samym_czasie,_w_przeciwieństwie_do_Amdahla.
Który_benchmark_mierzy_wydajność_superkomputerów_w_zadaniach_związanych_z_algebrą_liniową?; HPCG; LINPACK_(HPL); 3DMark; Geekbench; B; LINPACK_(HPL)_jest_używany_do_rankingu_TOP500_superkomputerów,_mierząc_wydajność_w_operacjach_zmiennoprzecinkowych.
Który_model_w_inżynierii_oprogramowania_charakteryzuje_się_sztywnymi_etapami_(analiza,_projekt,_implementacja)?; Scrum; Kanban; Model_kaskadowy_(Waterfall); Extreme_Programming; C; Model_kaskadowy_wymaga_sekwencyjnego_przejścia_przez_etapy_bez_możliwości_powrotu.
Która_z_poniższych_cech_NIE_jest_częścią_Agile_Manifesto?; Reagowanie_na_zmiany_ponad_trzymanie_się_planu; Działające_oprogramowanie_ponad_obszerną_dokumentację; Narzędzia_i_procesy_ponad_jednostki_i_interakcje; Współpraca_z_klientem_ponad_formalne_umowy; C; Agile_Manifesto_stawia_**ludzi_i_interakcje**_ponad_procesy_i_narzędzia.
Który_diagram_UML_przedstawia_interakcje_między_obiektami_w_czasie?; Diagram_klas; Diagram_sekwencji; Diagram_przypadków_użycia; Diagram_stanów; B; Diagram_sekwencji_wizualizuje_przepływ_komunikatów_między_obiektami_w_kolejności_czasowej.
Co_oznacza_skrót_HPCG_w_kontekście_benchmarków?; High-Performance_Computing_Gateway; High-Precision_Computing_Grade; High-Performance_Conjugate_Gradient; Hybrid_Parallel_Computing_Grid; C; HPCG_mierzy_wydajność_superkomputerów_w_zadaniach_związanych_z_rozwiązywaniem_rzadkich_układów_równań.
Która_metoda_numeryczna_wykorzystuje_podział_problemu_na_mniejsze_podproblemy?; Metoda_Newtona-Raphsona; Metoda_Monte_Carlo; Metoda_dziel_i_zwyciężaj_(divide_and_conquer); Metoda_Rungego-Kutty; C; Metoda_divide_and_conquer_dzieli_problem_na_mniejsze_części_(np._Mergesort).
Która_kwadratura_numeryczna_wykorzystuje_węzły_optymalnie_dobrane_do_minimalizacji_błędu?; Metoda_trapezów; Kwadratura_Gaussa; Metoda_prostokątów; Reguła_Simpsona; B; Kwadratura_Gaussa_dobiera_węzły_i_wagi_tak,_aby_osiągnąć_maksymalną_dokładność_dla_wielomianów.
Który_algorytm_generuje_liczby_pseudolosowe_z_długim_okresem_i_dobrą_rozkładem?; Linear_Congruential_Generator_(LCG); Mersenne_Twister; Xorshift; Middle-square_method; B; Mersenne_Twister_ma_okres_2^19937-1_i_jest_szeroko_stosowany_w_aplikacjach_wymagających_wysokiej_jakości_liczb_losowych.
Co_oznacza_skrót_RNN_w_kontekście_sztucznej_inteligencji?; Random_Neural_Network; Recurrent_Neural_Network; Radial_Node_Network; Regression_Neural_Network; B; Rekurencyjne_sieci_neuronowe_(RNN)_przetwarzają_sekwencje_danych,_np._tekst_lub_serie_czasowe.
Który_algorytm_jest_używany_do_treningu_sieci_neuronowych_poprzez_propagację_wstecz_błędów?; Forward_propagation; Backpropagation; Genetic_algorithm; K-means_clustering; B; Backpropagation_oblicza_gradient_funkcji_straty_względem_wag,_aby_je_zaktualizować_metodą_gradientu_prostego.
Który_problem_jest_nierozstrzygalny_w_teorii_obliczeń?; Problem_sortowania_tablicy; Problem_stopu_(Halting_Problem); Problem_znajdowania_najkrótszej_ścieżki_w_grafie; Problem_komiwojażera; B; Problem_stopu_jest_nierozstrzygalny_–_nie_istnieje_algorytm,_który_dla_dowolnego_programu_i_danych_wejściowych_stwierdzi,_czy_się_zatrzyma.
Która_klasa_złożoności_obejmuje_problemy_rozwiązywalne_w_czasie_wielomianowym_na_niedeterministycznej_maszynie_Turinga?; P; NP; EXPTIME; PSPACE; B; NP_(Nondeterministic_Polynomial_Time)_obejmuje_problemy,_których_rozwiązanie_można_zweryfikować_w_czasie_wielomianowym,_ale_niekoniecznie_znaleźć.
Który_mechanizm_w_UNIX_zarządza_przestrzenią_dyskową_użytkowników_poprzez_limity?; ACL; Quota; SELinux; Cron; B; System_quota_kontroluje_przestrzeń_dyskową_i_liczbę_plików,_np._poprzez_edycję_/etc/fstab_i_polecenie_edquota.
Co_oznacza_skrót_RPN_(Reverse_Polish_Notation)?; Notacja_prefiksowa_(np._+_3_4); Notacja_postfiksowa_(np._3_4_+); Notacja_infiksowa_(np._3_+_4); Notacja_tablicowa; B; RPN_(Odwrotna_Notacja_Polska)_umieszcza_operator_po_argumentach,_np._3_4_+_zamiast_3_+_4.
Które_narzędzie_w_UNIX_służy_do_zmiany_priorytetu_procesu_(nice_value)?; chmod; renice; kill; top; B; Polecenie_renice_pozwala_zmienić_wartość_nice_dla_istniejącego_procesu,_np._renice_-n_10_-p_1234.
Który_protokół_warstwy_aplikacji_wykorzystuje_port_389_domyślnie?; HTTP; LDAP; SSH; DNS; B; LDAP_(Lightweight_Directory_Access_Protocol)_używa_portu_389_do_komunikacji_z_serwerami_katalogowymi.
Jaką_funkcję_pełni_moduł_pam_ldap_w_systemie_PAM?; Kompresuje_logi_systemowe; Integruje_uwierzytelnianie_z_serwerem_LDAP; Blokuje_nieudane_próby_logowania; Szyfruje_hasła; B; pam_ldap_pozwala_na_uwierzytelnianie_użytkowników_poprzez_katalog_LDAP,_np._w_OpenLDAP.
Które_polecenie_wyświetla_listę_otwartych_plików_przez_proces?; ps; lsof; top; netstat; B; lsof_(List_Open_Files)_pokazuje_pliki,_gniazda_i_procesy_związane_z_danym_PID.
Co_oznacza_błąd_'Segmentation_fault'_w_C?; Brak_pamięci_w_stercie; Próba_odczytu/zapisu_do_nieautoryzowanego_obszaru_pamięci; Przepełnienie_stosu; Nieskończona_rekurencja; B; Segmentation_fault_występuje,_gdy_proces_próbuje_uzyskać_dostęp_do_pamięci,_która_nie_została_do_niego_przypisana.
Który_typ_w_C_jest_używany_do_przechowywania_znaków_w_UTF-8?; char; wchar_t; int; float; A; Typ_char_w_C_przechowuje_bajty,_które_mogą_reprezentować_znaki_UTF-8_(np._'€'_jako_3_bajty).
Które_drzewo_jest_używane_do_implementacji_indeksów_w_bazach_danych?; Drzewo_binarne; B-drzewo; Drzewo_czerwono-czarne; Drzewo_trie; B; B-drzewa_są_optymalizowane_pod_kątem_operacji_dyskowych,_dlatego_dominują_w_indeksach_baz_danych.
Która_postać_normalna_wymaga,_aby_każda_kolumna_niekluczowa_była_nieprzechodnio_zależna_od_klucza?; 1NF; 2NF; 3NF; BCNF; C; 3NF_eliminuje_zależności_przechodnie_–_kolumny_niekluczowe_muszą_zależeć_bezpośrednio_od_klucza.
Co_oznacza_skrót_CRUD_w_kontekście_baz_danych?; Create,_Read,_Update,_Delete; Compress,_Replicate,_Update,_Decrypt; Cache,_Read,_Unlink,_Debug; Cluster,_Rebalance,_Update,_Drop; A; CRUD_to_podstawowe_operacje_na_danych:_tworzenie,_odczyt,_aktualizacja,_usuwanie.
Która_metoda_służy_do_uniknięcia_zakleszczenia_(deadlock)_w_systemach_operacyjnych?; Stronicowanie_pamięci; Algorytm_Bankiera; Defragmentacja_dysku; Kompilacja_JIT; B; Algorytm_Bankiera_sprawdza,_czy_przydział_zasobów_może_prowadzić_do_zakleszczenia,_zanim_go_zatwierdzi.
Która_warstwa_w_modelu_OSI_odpowiada_za_trasowanie_pakietów?; Warstwa_fizyczna; Warstwa_sieciowa; Warstwa_transportowa; Warstwa_aplikacji; B; Warstwa_sieciowa_(np._IP)_odpowiada_za_routing_i_adresację_logiczną.
Jakie_zadanie_pełni_protokół_ARP?; Szyfrowanie_danych; Mapowanie_adresów_IP_na_MAC; Kompresję_plików; Autoryzację_użytkowników; B; ARP_(Address_Resolution_Protocol)_tłumaczy_adresy_IP_na_adresy_MAC_w_sieci_LAN.
Co_oznacza_skrót_VLAN?; Virtual_Local_Area_Network; Visual_Layer_Access_Node; Voltage_Level_Adapter_Network; Vectorized_Logical_Address_Notation; A; VLAN_pozwala_na_logiczną_segmentację_sieci_fizycznej_na_niezależne_domeny_rozgłoszeniowe.
Który_protokół_gwarantuje_dostarczenie_pakietów_w_kolejności_w_warstwie_transportowej?; UDP; TCP; ICMP; HTTP; B; TCP_(Transmission_Control_Protocol)_zapewnia_niezawodność,_kontrolę_przepływu_i_kolejność_pakietów.
Co_oznacza_zasada_'First-In-First-Out'_w_kolejce_procesów?; Procesy_o_wyższym_priorytecie_są_wykonywane_najpierw; Procesy_są_wykonywane_w_kolejności_zgłoszenia; Procesy_interakcyjne_mają_pierwszeństwo; Procesy_zużywające_dużo_CPU_są_odraczane; B; FIFO_(np._w_algorytmie_FCFS)_wykonuje_procesy_w_kolejności_ich_nadejścia.
Które_narzędzie_służy_do_monitorowania_ruchu_sieciowego_w_UNIX?; top; tcpdump; ps; grep; B; tcpdump_przechwytuje_i_analizuje_pakiety_sieciowe_w_czasie_rzeczywistym.
Jaką_rolę_pełni_jądro_systemu_operacyjnego?; Renderowanie_grafiki; Zarządzanie_zasobami_sprzętowymi_i_procesami; Obsługa_klawiatury; Autoryzacja_użytkowników; B; Jądro_(kernel)_pośredniczy_między_aplikacjami_a_sprzętem,_zarządzając_procesami,_pamięcią_i_urządzeniami.
Co_oznacza_skrót_FIFO_w_kontekście_komunikacji_międzyprocesowej?; First-In-First-Out_(kolejka); Fast_Interrupt_Forwarding_Option; File_Input/File_Output; Floating-Point_Integer_Format_Object; A; FIFO_(nazwane_potoki)_pozwala_na_komunikację_między_niezależnymi_procesami_poprzez_pliki_specjalne.
Który_algorytm_szeregowania_przydziela_procesom_stałe_przedziały_czasu_(kwanty_czasu)?; FIFO_(First-Come,_First-Served); Round_Robin; Shortest_Job_Next_(SJN); Priority_Scheduling; B; Round_Robin_używa_kwantów_czasu,_przełączając_się_między_procesami_cyklicznie,_co_zapewnia_sprawiedliwy_podział_zasobów.
Który_warunek_NIE_jest_konieczny_do_wystąpienia_zakleszczenia_(deadlock)?; Wzajemne_wykluczenie_(mutual_exclusion); Przytrzymanie_i_oczekiwanie_(hold_and_wait); Brak_wywłaszczania_(no_preemption); Obecność_pamięci_podręcznej_(cache_memory); D; Zakleszczenie_wymaga_czterech_warunków:_wzajemne_wykluczenie,_przytrzymanie_i_oczekiwanie,_brak_wywłaszczania,_cykliczne_oczekiwanie._Pamięć_podręczna_nie_jest_związana_z_zakleszczeniem.
Co_opisuje_problem_„ucztujących_filozofów”_w_systemach_operacyjnych?; Konflikt_dostępu_do_pamięci_podręcznej; Rywalizacja_o_dostęp_do_zasobów_współdzielonych; Błąd_przepełnienia_stosu; Nieskończona_pętla_w_algorytmie; B; Problem_ilustruje_rywalizację_o_zasoby_(np._widelce)_i_konieczność_synchronizacji,_aby_uniknąć_zakleszczenia.
Co_jest_główną_różnicą_między_procesem_a_wątkiem?; Procesy_współdzielą_pamięć,_a_wątki_nie; Wątki_współdzielą_pamięć_procesu,_a_procesy_są_odizolowane; Procesy_są_lżejsze_niż_wątki; Wątki_wymagają_osobnych_zasobów_systemowych; B; Wątki_współdzielą_pamięć_i_zasoby_procesu,_co_czyni_je_bardziej_lekcyjnymi_od_procesów.
Które_zdanie_opisuje_stronicowanie_(paging)_w_pamięci_wirtualnej?; Pamięć_jest_dzielona_na_segmenty_o_zmiennej_wielkości; Pamięć_jest_dzielona_na_strony_o_stałym_rozmiarze; Stronicowanie_nie_wymaga_użycia_MMU_(Memory_Management_Unit); Stronicowanie_eliminuje_fragmentację_wewnętrzną; B; Stronicowanie_dzieli_pamięć_na_strony_o_stałym_rozmiarze_(np._4_KB),_zarządzane_przez_MMU.
Który_typ_systemu_czasu_rzeczywistego_gwarantuje_dotrzymanie_terminów_w_każdym_przypadku?; System_miękkiego_czasu_rzeczywistego_(soft_real-time); System_twardego_czasu_rzeczywistego_(hard_real-time); System_wsadowy_(batch); System_interakcyjny; B; Systemy_twardego_czasu_rzeczywistego_(np._sterowanie_lotem)_muszą_dotrzymać_terminów_bez_wyjątków.
Które_polecenie_w_UNIX_tworzy_nowy_proces_poprzez_duplikowanie_istniejącego?; exec(); fork(); clone(); wait(); B; fork()_tworzy_nowy_proces_jako_kopię_rodzica._exec()_zastępuje_kod_procesu_nowym_programem.
Które_podejście_zapobiega_zakleszczeniu_poprzez_uniemożliwienie_jednego_z_czterech_warunków_koniecznych?; Algorytm_Bankiera; Wykrywanie_zakleszczeń_i_odzyskiwanie; Zapobieganie_cyklicznemu_oczekiwaniu_(np._kolejność_zasobów); Ignorowanie_problemu_(Ostrich_algorithm); C; Nakazując_kolejność_żądania_zasobów,_eliminuje_się_możliwość_cyklicznego_oczekiwania.
Co_oznacza_statyczne_łączenie_bibliotek?; Kod_biblioteki_jest_ładowany_w_czasie_wykonania_programu; Kod_biblioteki_jest_wbudowany_w_plik_wykonywalny; Biblioteka_współdzielona_jest_przez_wiele_procesów; Łączenie_odbywa_się_za_pomocą_linkerów_dynamicznych; B; Statyczne_łączenie_włącza_kod_biblioteki_bezpośrednio_do_pliku_wykonywalnego,_zwiększając_jego_rozmiar.
Który_mechanizm_synchronizacji_pozwala_wielu_wątkom_na_dostęp_do_zasobu_w_ograniczonej_liczbie?; Mutex; Semafory_licznikowe; Bariera_(barrier); Monitor; B; Semafory_licznikowe_(np._sem_init_z_wartością_N)_pozwalają_do_N_wątków_na_dostęp_jednocześnie.
Który_problem_synchronizacyjny_dotyczy_procesów_działających_jako_producenci_i_konsumenci_danych?; Problem_czytelników_i_pisarzy; Problem_pięciu_filozofów; Problem_bufora_ograniczonego_rozmiaru; Problem_wzajemnego_wykluczenia; C; Producenci_dodają_dane_do_bufora,_konsumenci_je_usuwają_–_konieczna_synchronizacja_przy_pełnym/pustym_buforze.
Co_oznacza_skrót_TLB_(Translation_Lookaside_Buffer)_w_kontekście_pamięci_wirtualnej?; Tymczasowy_bufor_dla_danych_sieciowych; Pamięć_podręczna_odwzorowań_stron_wirtualnych_na_fizyczne; Bufor_przechowujący_listę_otwartych_plików; Mechanizm_wykrywania_błędów_pamięci; B; TLB_przyspiesza_translację_adresów_wirtualnych_na_fizyczne,_przechowując_ostatnio_używane_odwzorowania_stron.
